"Depth","Column","Parameter","Process","Coefficient","SRC","R2","adjR2"
7.5,4,"eta_SP_diffusion","Reduction",-0.0612452371447473,-0.0053326122921116,0.985304855392276,0.984848799180312
7.5,4,"eta_18O_diffusion","Reduction",0.227342323094579,0.0186246452014269,0.985304855392276,0.984848799180312
7.5,4,"SP_nitrification","Reduction",0.0800926902885883,0.0441904055689933,0.985304855392276,0.984848799180312
7.5,4,"d18O_nitrification","Reduction",-0.154127022446693,-0.134755015341107,0.985304855392276,0.984848799180312
7.5,4,"SP_denitrification","Reduction",0.0260532060807736,0.0385027286780528,0.985304855392276,0.984848799180312
7.5,4,"d18O_denitrification","Reduction",-0.23790849854571,-0.22008745753386,0.985304855392276,0.984848799180312
7.5,4,"eta_SP_reduction","Reduction",0.0238355454033068,0.0107331377928269,0.985304855392276,0.984848799180312
7.5,4,"eta_18O_reduction","Reduction",0.557190968362909,0.913954371803049,0.985304855392276,0.984848799180312
7.5,5,"BD","Nitrification",-8.33112620708825,-0.123818747728892,0.9782319049882,0.977556343418869
7.5,5,"eta_SP_diffusion","Nitrification",0.457936769254931,0.0282651905990782,0.9782319049882,0.977556343418869
7.5,5,"eta_18O_diffusion","Nitrification",-0.408959980336344,-0.0249473019764054,0.9782319049882,0.977556343418869
7.5,5,"SP_nitrification","Nitrification",-0.200331963280283,-0.0887997323231543,0.9782319049882,0.977556343418869
7.5,5,"d18O_nitrification","Nitrification",0.124117191950399,0.084721031265159,0.9782319049882,0.977556343418869
7.5,5,"SP_denitrification","Nitrification",-0.467804449577923,-0.521374799111407,0.9782319049882,0.977556343418869
7.5,5,"d18O_denitrification","Nitrification",0.249492666914133,0.178006891716234,0.9782319049882,0.977556343418869
7.5,5,"eta_SP_reduction","Nitrification",1.10948943607525,0.363152454266004,0.9782319049882,0.977556343418869
7.5,5,"eta_18O_reduction","Nitrification",-0.554214865311421,-0.692225899675218,0.9782319049882,0.977556343418869
7.5,5,"BD","Denitrification",-2.69650031783752,-0.0595793998312471,0.97689753955887,0.976180566648628
7.5,5,"eta_SP_diffusion","Denitrification",-0.245967463060231,-0.0225702837381392,0.97689753955887,0.976180566648628
7.5,5,"eta_18O_diffusion","Denitrification",-0.214230699622857,-0.0194284177604275,0.97689753955887,0.976180566648628
7.5,5,"SP_nitrification","Denitrification",0.0882317738958176,0.0581432595193779,0.97689753955887,0.976180566648628
7.5,5,"d18O_nitrification","Denitrification",0.0541916020235264,0.0549925978831114,0.97689753955887,0.976180566648628
7.5,5,"SP_denitrification","Denitrification",0.265905855032151,0.440581788848331,0.97689753955887,0.976180566648628
7.5,5,"d18O_denitrification","Denitrification",0.180581914318725,0.191542979409825,0.97689753955887,0.976180566648628
7.5,5,"eta_SP_reduction","Denitrification",-0.574301048788747,-0.279459177144081,0.97689753955887,0.976180566648628
7.5,5,"eta_18O_reduction","Denitrification",-0.430208453711291,-0.798843247766224,0.97689753955887,0.976180566648628
7.5,5,"BD","Reduction",7.1264473386563,0.140002244361549,0.985879979592049,0.985441772062147
7.5,5,"eta_SP_diffusion","Reduction",-0.127660992627351,-0.0104155892169327,0.985879979592049,0.985441772062147
7.5,5,"eta_18O_diffusion","Reduction",0.186897806536124,0.0150704493281103,0.985879979592049,0.985441772062147
7.5,5,"SP_nitrification","Reduction",0.044975847617884,0.0263523888455045,0.985879979592049,0.985441772062147
7.5,5,"d18O_nitrification","Reduction",-0.175130413754406,-0.158015645529068,0.985879979592049,0.985441772062147
7.5,5,"SP_denitrification","Reduction",0.0491689674685065,0.0724362567451832,0.985879979592049,0.985441772062147
7.5,5,"d18O_denitrification","Reduction",-0.238110720899216,-0.224562484803496,0.985879979592049,0.985441772062147
7.5,5,"eta_SP_reduction","Reduction",-0.00888373770111173,-0.00384362281972812,0.985879979592049,0.985441772062147
7.5,5,"eta_18O_reduction","Reduction",0.563943429714731,0.931074514247702,0.985879979592049,0.985441772062147
7.5,6,"BD","Nitrification",-13.5335943248809,-0.202623576447972,0.978657328262833,0.977994969484783
7.5,6,"eta_SP_diffusion","Nitrification",0.433965542011421,0.026852980666774,0.978657328262833,0.977994969484783
7.5,6,"eta_18O_diffusion","Nitrification",0.00220285445101982,0.00014405449013133,0.978657328262833,0.977994969484783
7.5,6,"SP_nitrification","Nitrification",-0.141439228574353,-0.0660921464724724,0.978657328262833,0.977994969484783
7.5,6,"d18O_nitrification","Nitrification",0.0838060534070561,0.0609032459521918,0.978657328262833,0.977994969484783
7.5,6,"SP_denitrification","Nitrification",-0.473487702027503,-0.569027254258736,0.978657328262833,0.977994969484783
7.5,6,"d18O_denitrification","Nitrification",0.238610462344424,0.182096807641823,0.978657328262833,0.977994969484783
7.5,6,"eta_SP_reduction","Nitrification",1.07337204271841,0.391728557835654,0.978657328262833,0.977994969484783
7.5,6,"eta_18O_reduction","Nitrification",-0.524308433405453,-0.702726540999291,0.978657328262833,0.977994969484783
7.5,6,"BD","Denitrification",-3.07448562657189,-0.0610698865824358,0.969622028416431,0.968679263781078
7.5,6,"eta_SP_diffusion","Denitrification",-0.469585855324136,-0.0385505060244533,0.969622028416431,0.968679263781078
7.5,6,"eta_18O_diffusion","Denitrification",-0.264244760787716,-0.0229258372903076,0.969622028416431,0.968679263781078
7.5,6,"SP_nitrification","Denitrification",0.127639397853793,0.0791302519104755,0.969622028416431,0.968679263781078
7.5,6,"d18O_nitrification","Denitrification",0.0521672678435293,0.0502968707898493,0.969622028416431,0.968679263781078
7.5,6,"SP_denitrification","Denitrification",0.26606698191592,0.424221984917927,0.969622028416431,0.968679263781078
7.5,6,"d18O_denitrification","Denitrification",0.206041151136401,0.208614572122551,0.969622028416431,0.968679263781078
7.5,6,"eta_SP_reduction","Denitrification",-0.569295682780761,-0.275645348761379,0.969622028416431,0.968679263781078
7.5,6,"eta_18O_reduction","Denitrification",-0.460164353028436,-0.818258093790492,0.969622028416431,0.968679263781078
7.5,6,"BD","Reduction",14.9339277603535,0.288079632018826,0.983088666574172,0.982563832088543
7.5,6,"eta_SP_diffusion","Reduction",-0.114540727195424,-0.00913185219105249,0.983088666574172,0.982563832088543
7.5,6,"eta_18O_diffusion","Reduction",0.426596032608535,0.0359434279487972,0.983088666574172,0.982563832088543
7.5,6,"SP_nitrification","Reduction",0.0681109012758401,0.0410070275225567,0.983088666574172,0.982563832088543
7.5,6,"d18O_nitrification","Reduction",-0.155662688958784,-0.145750906200828,0.983088666574172,0.982563832088543
7.5,6,"SP_denitrification","Reduction",0.0440721020174825,0.0682416963635604,0.983088666574172,0.982563832088543
7.5,6,"d18O_denitrification","Reduction",-0.239885470988865,-0.235873135353708,0.983088666574172,0.982563832088543
7.5,6,"eta_SP_reduction","Reduction",-0.00716880720653341,-0.00337088192325134,0.983088666574172,0.982563832088543
7.5,6,"eta_18O_reduction","Reduction",0.533188020204782,0.920749689693684,0.983088666574172,0.982563832088543
7.5,7,"BD","Nitrification",-5.73507639459211,-0.0838275840412458,0.976993031991532,0.976279022639545
7.5,7,"eta_SP_diffusion","Nitrification",0.242481142768151,0.0139709917619639,0.976993031991532,0.976279022639545
7.5,7,"eta_18O_diffusion","Nitrification",-0.061671711175059,-0.00347970408026423,0.976993031991532,0.976279022639545
7.5,7,"SP_nitrification","Nitrification",-0.132872728580395,-0.0564497603327168,0.976993031991532,0.976279022639545
7.5,7,"d18O_nitrification","Nitrification",0.064733303292489,0.0409635466850491,0.976993031991532,0.976279022639545
7.5,7,"SP_denitrification","Nitrification",-0.467221059892317,-0.521698687039246,0.976993031991532,0.976279022639545
7.5,7,"d18O_denitrification","Nitrification",0.217225190461776,0.153839017676834,0.976993031991532,0.976279022639545
7.5,7,"eta_SP_reduction","Nitrification",1.05914043156881,0.344194954913223,0.976993031991532,0.976279022639545
7.5,7,"eta_18O_reduction","Nitrification",-0.552826202517037,-0.730548394164528,0.976993031991532,0.976279022639545
7.5,7,"BD","Denitrification",-0.898943032963435,-0.0172134392199801,0.976252623948593,0.975515636415964
7.5,7,"eta_SP_diffusion","Denitrification",-0.187396906236019,-0.0141448849817842,0.976252623948593,0.975515636415964
7.5,7,"eta_18O_diffusion","Denitrification",-0.17562875834706,-0.0129819425167321,0.976252623948593,0.975515636415964
7.5,7,"SP_nitrification","Denitrification",0.118724851160375,0.0660778068091657,0.976252623948593,0.975515636415964
7.5,7,"d18O_nitrification","Denitrification",0.0290043837520572,0.0240447996019119,0.976252623948593,0.975515636415964
7.5,7,"SP_denitrification","Denitrification",0.271707268235878,0.397453500811301,0.976252623948593,0.975515636415964
7.5,7,"d18O_denitrification","Denitrification",0.226363657139867,0.21001521068913,0.976252623948593,0.975515636415964
7.5,7,"eta_SP_reduction","Denitrification",-0.55307012157953,-0.235460947682501,0.976252623948593,0.975515636415964
7.5,7,"eta_18O_reduction","Denitrification",-0.471909779207431,-0.816971836748882,0.976252623948593,0.975515636415964
7.5,7,"BD","Reduction",6.08952681276086,0.111235693995173,0.987591364583473,0.98720626900158
7.5,7,"eta_SP_diffusion","Reduction",-0.0499585103548673,-0.00359725832198834,0.987591364583473,0.98720626900158
