,day_column_depth,date_R,column,depth,increment,variety,moisture,concNO3N,NO3N_ha,N2O,CO2,mgN2ONm3,mgCO2Cm3,gN2ONha,gCO2Cha,CN,d15Nbulk,d15Nalpha,d15Nbeta,SP,d18O
91,2015240 C4 120,2015240,C4,120,30,Monte Calme 268,0.316714583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2015240 C4 30,2015240,C4,30,30,Monte Calme 268,0.283471875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2015240 C4 60,2015240,C4,60,30,Monte Calme 268,0.268871354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,2015240 C4 7.5,2015240,C4,7.5,15,Monte Calme 268,0.310298438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2015240 C4 90,2015240,C4,90,30,Monte Calme 268,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,2015240 C5 120,2015240,C5,120,30,Probus,0.301002604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,2015240 C5 30,2015240,C5,30,30,Probus,0.288220833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2015240 C5 60,2015240,C5,60,30,Probus,0.312622396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,2015240 C5 7.5,2015240,C5,7.5,15,Probus,0.255079167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2015240 C5 90,2015240,C5,90,30,Probus,0.306408333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,2015240 C6 120,2015240,C6,120,30,CH Claro,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2015240 C6 30,2015240,C6,30,30,CH Claro,0.288625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2015240 C6 60,2015240,C6,60,30,CH Claro,0.319089063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,2015240 C6 7.5,2015240,C6,7.5,15,CH Claro,0.2752875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,2015240 C6 90,2015240,C6,90,30,CH Claro,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,2015240 C7 120,2015240,C7,120,30,Monte Calme 268,0.290191146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,2015240 C7 30,2015240,C7,30,30,Monte Calme 268,0.227545313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,2015240 C7 60,2015240,C7,60,30,Monte Calme 268,0.319038542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,2015240 C7 7.5,2015240,C7,7.5,15,Monte Calme 268,0.272508854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2015240 C7 90,2015240,C7,90,30,Monte Calme 268,0.316310417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,2015240 C8 120,2015240,C8,120,30,CH Claro,0.290140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2015240 C8 30,2015240,C8,30,30,CH Claro,0.297061979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,2015240 C8 60,2015240,C8,60,30,CH Claro,0.271548958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2015240 C8 7.5,2015240,C8,7.5,15,CH Claro,0.251845833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2015240 C8 90,2015240,C8,90,30,CH Claro,0.305246354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,2015240 C9 120,2015240,C9,120,30,Probus,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2015240 C9 30,2015240,C9,30,30,Probus,0.218653646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2015240 C9 60,2015240,C9,60,30,Probus,0.274075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,2015240 C9 7.5,2015240,C9,7.5,15,Probus,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2015240 C9 90,2015240,C9,90,30,Probus,0.283775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2015241 C1 120,2015241,C1,120,30,Zinal,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,2015241 C1 30,2015241,C1,30,30,Zinal,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,2015241 C1 60,2015241,C1,60,30,Zinal,0.279379688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2015241 C1 7.5,2015241,C1,7.5,15,Zinal,0.261192188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,2015241 C1 90,2015241,C1,90,30,Zinal,0.322575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,2015241 C10 120,2015241,C10,120,30,Zinal,0.307317708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2015241 C10 30,2015241,C10,30,30,Zinal,0.296556771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2015241 C10 60,2015241,C10,60,30,Zinal,0.266648438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,2015241 C10 7.5,2015241,C10,7.5,15,Zinal,0.255735938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,2015241 C10 90,2015241,C10,90,30,Zinal,0.308883854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
