"variable","column","depth","bandwidth","cost"
"SP",10,30,10.5737126344056,11.3913913200369
"d18O",10,30,10.5737126344056,3.60235703290738
"N2O",11,30,10.5737126344056,0.571788694373452
"SP",11,30,10.5737126344056,7.49086300458414
"d18O",11,30,10.5737126344056,3.24737395214604
"N2O",12,30,10.5737126344056,1.79421091806768
"SP",12,30,10.5737126344056,5.29135816153033
"d18O",12,30,10.5737126344056,2.62564043066796
"N2O",1,60,10.5737126344056,0.611973200451949
"SP",1,60,10.5737126344056,3.53910866740939
"d18O",1,60,10.5737126344056,3.51284374639683
"N2O",2,60,10.5737126344056,1.23462985430097
"SP",2,60,10.5737126344056,5.74515816354381
"d18O",2,60,10.5737126344056,3.13079004853805
"N2O",3,60,10.5737126344056,1.52578712982802
"SP",3,60,10.5737126344056,6.16169384118642
"d18O",3,60,10.5737126344056,4.07257458475514
"N2O",4,60,10.5737126344056,1.58492867862794
"SP",4,60,10.5737126344056,9.12636428848268
"d18O",4,60,10.5737126344056,3.71675036621231
"N2O",5,60,10.5737126344056,0.370009927106335
"SP",5,60,10.5737126344056,7.89815372716128
"d18O",5,60,10.5737126344056,1.69364674903924
"N2O",6,60,10.5737126344056,0.316704651418887
"SP",6,60,10.5737126344056,8.03380304514
"d18O",6,60,10.5737126344056,1.38881369431116
"N2O",7,60,10.5737126344056,1.5907693513539
"SP",7,60,10.5737126344056,5.01136847831651
"d18O",7,60,10.5737126344056,4.27696397283718
"N2O",8,60,10.5737126344056,1.23383091385011
"SP",8,60,10.5737126344056,9.40806313728746
"d18O",8,60,10.5737126344056,6.03256363108129
"N2O",9,60,10.5737126344056,1.2531065885097
"SP",9,60,10.5737126344056,6.23788702151728
"d18O",9,60,10.5737126344056,5.54678439560195
"N2O",10,60,10.5737126344056,1.1021414999819
"SP",10,60,10.5737126344056,9.51645624907494
"d18O",10,60,10.5737126344056,1.88702303861994
"N2O",11,60,10.5737126344056,1.37688199373965
"SP",11,60,10.5737126344056,5.23022921939697
"d18O",11,60,10.5737126344056,4.89257686405128
"N2O",12,60,10.5737126344056,3.01343604174095
"SP",12,60,10.5737126344056,4.44286082375904
"d18O",12,60,10.5737126344056,4.113651038444
"N2O",1,90,10.5737126344056,0.709207034134105
"SP",1,90,10.5737126344056,2.97911110856605
"d18O",1,90,10.5737126344056,4.79626703961534
"N2O",2,90,10.5737126344056,1.4227982405282
"SP",2,90,10.5737126344056,4.05518420057278
"d18O",2,90,10.5737126344056,4.04889796545549
"N2O",3,90,10.5737126344056,2.04876463162712
"SP",3,90,10.5737126344056,7.26322591014194
"d18O",3,90,10.5737126344056,3.30405367873487
"N2O",4,90,10.5737126344056,2.11770504832085
"SP",4,90,10.5737126344056,7.5374726214771
"d18O",4,90,10.5737126344056,5.06029512688701
"N2O",5,90,10.5737126344056,0.33178564332417
"SP",5,90,10.5737126344056,11.4582887503404
"d18O",5,90,10.5737126344056,2.08746333986834
"N2O",6,90,10.5737126344056,0.225977419313691
